,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
20,ST,2024-09-17,84.6,-2.39,5.09,"Wheeler, Zack",668930,554430,,ball,,,,,11,"Brice Turang grounds out, shortstop Trea Turner to first baseman Bryce Harper.",R,L,R,MIL,PHI,B,,,0,0,2024,1.02,0.32,-1.67,2.48,,,,0,6,Bot,,,,,592663,,,-0.3545039120457229,-123.23110577182908,-0.3505944188298553,10.433817547966228,25.59649136241029,-29.1105597731142,3.14,1.42,,,,85.5,2509,6.9,745935,554430,592663,547180,681082,624641,607208,669016,670276,592206,53.55,,,,,,,,45,1,Sweeper,1,3,1,3,3,1,1,3,Standard,Standard,84,0.0,0.034,,
21,FF,2024-09-17,95.9,-2.12,5.02,"Wheeler, Zack",687401,554430,field_out,hit_into_play,,,,,4,Joey Ortiz lines out to center fielder Cal Stevenson.,R,R,R,MIL,PHI,X,8.0,line_drive,3,2,2024,-0.6,1.21,-0.41,2.74,,,,2,5,Bot,125.14,73.36,,,592663,,,6.0065587470084445,-139.53132719696674,-3.197753764064713,-9.237156490347983,30.76509907787059,-15.843037494450249,3.32,1.52,313.0,84.5,28.0,97.7,2469,7.3,745935,554430,592663,547180,681082,624641,607208,669016,670276,592206,53.24,0.077,0.089,0.0,1.0,0.0,0.0,3.0,37,6,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,228,-0.014,-0.125,77.88472,7.54139
22,FF,2024-09-17,96.0,-2.11,5.07,"Wheeler, Zack",687401,554430,,called_strike,,,,,8,Joey Ortiz lines out to center fielder Cal Stevenson.,R,R,R,MIL,PHI,S,,,3,1,2024,-0.79,1.35,0.16,1.91,,,,2,5,Bot,,,,,592663,,,7.934686999026391,-139.58697657327716,-5.914256847441124,-12.056299454619053,31.5578911557758,-13.38785162428604,3.24,1.5,,,,97.8,2473,7.4,745935,554430,592663,547180,681082,624641,607208,669016,670276,592206,53.13,,,,,,,,37,5,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,227,0.0,-0.035,,
23,SI,2024-09-17,94.9,-2.16,5.1,"Wheeler, Zack",687401,554430,,ball,,,,,14,Joey Ortiz lines out to center fielder Cal Stevenson.,R,R,R,MIL,PHI,B,,,2,1,2024,-1.43,0.5,1.42,1.31,,,,2,5,Bot,,,,,592663,,,12.781132136523627,-137.54205239341937,-5.428322608210432,-20.884287868059975,29.371095807804945,-24.765628288456657,3.14,1.48,,,,96.6,2288,7.4,745935,554430,592663,547180,681082,624641,607208,669016,670276,592206,53.11,,,,,,,,37,4,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,223,0.0,0.043,,
24,SI,2024-09-17,94.9,-2.25,5.01,"Wheeler, Zack",687401,554430,,ball,,,,,13,Joey Ortiz lines out to center fielder Cal Stevenson.,R,R,R,MIL,PHI,B,,,1,1,2024,-1.48,0.57,-1.87,1.66,,,,2,5,Bot,,,,,592663,,,4.385646433402324,-138.12577316623714,-4.442881491741958,-19.908796080322883,30.912509833871997,-24.15135721376896,3.24,1.36,,,,96.5,2193,7.2,745935,554430,592663,547180,681082,624641,607208,669016,670276,592206,53.27,,,,,,,,37,3,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,233,0.0,0.023,,
25,FF,2024-09-17,95.6,-2.15,5.15,"Wheeler, Zack",687401,554430,,swinging_strike,,,,,4,Joey Ortiz lines out to center fielder Cal Stevenson.,R,R,R,MIL,PHI,S,,,1,0,2024,-0.83,1.3,-0.63,2.74,,,,2,5,Bot,,,,,592663,,,6.006463518569767,-139.04509894875264,-3.751766748341677,-12.065268004311784,31.225790051408826,-14.59911628504232,3.32,1.52,,,,97.4,2445,7.3,745935,554430,592663,547180,681082,624641,607208,669016,670276,592206,53.16,,,,,,,,37,2,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,227,0.0,-0.02,74.83697,8.11391
26,SI,2024-09-17,95.0,-2.26,4.99,"Wheeler, Zack",687401,554430,,ball,,,,,13,Joey Ortiz lines out to center fielder Cal Stevenson.,R,R,R,MIL,PHI,B,,,0,0,2024,-1.52,0.55,-1.5,1.45,,,,2,5,Bot,,,,,592663,,,5.513665746618074,-138.2395435639987,-4.924210203061536,-20.731453728718066,30.650531001332187,-24.27015731475606,3.2,1.42,,,,96.7,2318,7.3,745935,554430,592663,547180,681082,624641,607208,669016,670276,592206,53.23,,,,,,,,37,1,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,233,0.0,0.015,,
27,FF,2024-09-17,96.0,-1.99,5.05,"Wheeler, Zack",686217,554430,field_out,hit_into_play,,,,,12,Sal Frelick pops out to third baseman Edmundo Sosa.,R,L,R,MIL,PHI,X,5.0,popup,1,1,2024,-0.81,1.24,0.84,3.22,,,,1,5,Bot,136.54,191.08,,,592663,,,9.508790359093917,-139.4660168911359,-2.05354138162043,-12.760773503805009,31.851278238517327,-15.716540389769143,3.03,1.44,43.0,83.4,77.0,97.4,2418,7.2,745935,554430,592663,547180,681082,624641,607208,669016,670276,592206,53.28,0.011,0.013,0.0,1.0,0.0,0.0,3.0,36,3,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,230,-0.022,-0.154,61.50847,6.38346
28,CU,2024-09-17,83.3,-2.16,5.14,"Wheeler, Zack",686217,554430,,ball,,,,,13,Sal Frelick pops out to third baseman Edmundo Sosa.,R,L,R,MIL,PHI,B,,,0,1,2024,0.54,-0.55,-0.01,1.18,,,,1,5,Bot,,,,,592663,,,3.923775062777106,-121.37078655118432,-1.5923720103748888,4.558493207877408,23.39793710755788,-37.56618505824376,2.91,1.34,,,,84.6,2714,7.0,745935,554430,592663,547180,681082,624641,607208,669016,670276,592206,53.47,,,,,,,,36,2,Curveball,1,1,1,1,1,1,1,1,Standard,Standard,63,0.0,0.015,,
29,FF,2024-09-17,94.8,-2.17,5.1,"Wheeler, Zack",686217,554430,,called_strike,,,,,6,Sal Frelick pops out to third baseman Edmundo Sosa.,R,L,R,MIL,PHI,S,,,0,0,2024,-0.62,1.21,0.52,2.19,,,,1,5,Bot,,,,,592663,,,8.590423761343837,-137.80261059127994,-4.739377793345627,-9.8595115066292,31.518515520946792,-15.836488232906506,2.76,1.45,,,,96.7,2404,7.5,745935,554430,592663,547180,681082,624641,607208,669016,670276,592206,53.0,,,,,,,,36,1,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,227,0.0,-0.023,,
