,Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
315,Geoff Hartlieb,30,144,Maj-NL,Colorado,5,0,,,,9.0,13,10,9,4,7,1,0,9.0,39,4,1,1,1,1,2,0,0,44,138,0.69,0.13,0.1,0.42,0.18,0.09,1.889,0.375,7.0,1.75,664129
316,Grant Hartwig,26,179,Maj-NL,New York,4,0,,,,6.2,6,6,5,4,4,1,2,6.75,25,0,0,0,0,0,0,0,0,31,118,0.53,0.11,0.09,0.38,0.14,0.05,1.5,0.25,5.4,1.0,701643
317,Hunter Harvey,29,100,"Maj-AL,Maj-NL","Kansas City,Washington",49,0,2.0,4.0,1.0,50.2,51,28,25,16,55,5,5,4.44,197,19,1,2,3,0,13,2,0,219,902,0.67,0.15,0.13,0.45,0.32,0.05,1.322,0.336,9.8,3.44,640451
318,Brent Headrick,26,51,Maj-AL,Minnesota,1,0,,,,3.0,2,1,1,2,5,1,0,3.0,11,1,0,0,0,0,0,0,0,13,60,0.6,0.15,0.15,0.5,0.0,0.0,1.333,0.2,15.0,2.5,687396
319,Andrew Heaney,33,45,Maj-AL,Texas,32,31,5.0,14.0,,160.0,159,84,76,41,159,23,12,4.28,634,30,1,1,6,3,8,1,0,693,2732,0.66,0.15,0.12,0.34,0.28,0.07,1.25,0.299,8.9,3.88,571760
320,Jonathan Heasley,27,173,Maj-AL,Baltimore,4,0,,1.0,,5.1,10,11,10,3,4,2,1,16.88,25,0,0,0,1,0,0,1,1,29,108,0.62,0.19,0.09,0.62,0.19,0.0,2.438,0.421,6.8,1.33,669169
321,Austin Hedges,31,124,Maj-AL,Cleveland,1,0,,,,2.0,0,0,0,1,0,0,0,0.0,5,0,0,0,1,0,0,0,0,6,20,0.55,0.2,0.0,0.4,0.2,0.0,0.5,0.0,0.0,0.0,595978
322,Tyler Heineman,33,46,Maj-AL,Toronto,1,0,,,,1.0,1,0,0,0,0,0,0,0.0,4,0,0,0,0,0,0,0,0,4,8,0.75,0.13,0.0,0.25,0.25,0.5,1.0,0.25,0.0,,623168
323,Ben Heller,32,77,Maj-NL,Pittsburgh,8,0,,1.0,,12.0,19,16,15,6,15,1,6,11.25,54,3,1,1,0,0,4,1,0,66,255,0.6,0.18,0.12,0.41,0.28,0.05,2.083,0.474,11.3,2.5,621294
324,Ryan Helsley,29,46,Maj-NL,St. Louis,65,0,7.0,4.0,49.0,66.1,50,19,15,23,79,3,0,2.04,238,6,0,3,5,4,4,1,0,266,933,0.69,0.16,0.17,0.37,0.28,0.11,1.101,0.294,10.7,3.43,664854
325,Kyle Hendricks,34,45,Maj-NL,Chicago,29,24,4.0,12.0,,130.2,147,88,86,43,87,21,3,5.92,514,15,1,0,6,7,14,7,2,567,2135,0.65,0.19,0.08,0.46,0.23,0.08,1.454,0.305,6.0,2.02,543294
326,Blair Henley,27,218,Maj-AL,Houston,1,1,,,,0.1,4,5,5,3,0,0,1,135.0,5,0,0,0,0,0,0,0,0,9,39,0.46,0.26,0.03,0.4,0.2,0.2,21.0,0.8,0.0,0.0,668874
327,Edgardo Henriquez,22,44,Maj-NL,Los Angeles,3,0,,,1.0,3.1,2,1,1,2,5,0,0,2.7,12,0,0,0,0,0,1,0,0,14,59,0.63,0.17,0.12,0.43,0.14,0.43,1.2,0.286,13.5,2.5,683618
328,Ronny Henriquez,24,53,Maj-AL,Minnesota,16,1,1.0,1.0,,19.1,20,8,7,5,15,2,2,3.26,75,1,1,1,0,0,1,0,2,82,303,0.65,0.15,0.12,0.53,0.2,0.08,1.293,0.31,7.0,3.0,678692
329,Tommy Henry,26,143,Maj-NL,Arizona,9,7,2.0,3.0,,38.1,49,31,30,18,30,9,4,7.04,157,12,2,0,5,2,1,2,0,182,706,0.63,0.17,0.07,0.44,0.23,0.05,1.748,0.333,7.0,1.67,674072
330,David Hensley,28,67,Maj-NL,Miami,1,0,,,,2.0,2,2,2,1,0,0,1,9.0,6,1,0,0,1,2,0,0,0,10,26,0.54,0.08,0.08,0.25,0.25,0.0,1.5,0.25,0.0,0.0,682073
331,Sam Hentges,27,125,Maj-AL,Cleveland,25,0,,,,23.2,18,8,8,5,27,3,0,3.04,85,6,0,0,4,0,0,0,0,91,351,0.68,0.2,0.13,0.48,0.22,0.05,0.972,0.273,10.3,5.4,656529
332,Jimmy Herget,30,87,Maj-NL,Atlanta,8,0,,1.0,,12.1,13,6,6,3,15,2,0,4.38,49,3,0,0,1,0,2,0,1,52,189,0.69,0.17,0.14,0.26,0.21,0.15,1.297,0.344,10.9,5.0,623474
333,Kevin Herget,33,52,Maj-NL,Milwaukee,7,0,,,1.0,11.1,6,2,2,3,9,1,0,1.59,40,2,0,0,0,0,0,0,0,43,151,0.7,0.22,0.09,0.39,0.26,0.16,0.794,0.167,7.1,3.0,643361
334,Carlos Hern\xc3\xa1ndez,27,44,Maj-AL,Kansas City,27,0,,1.0,,30.0,24,14,11,16,27,1,1,3.3,109,8,0,0,1,3,8,1,0,129,561,0.63,0.14,0.11,0.32,0.18,0.15,1.333,0.274,8.1,1.69,672578
335,Daysbel Hern\xc3\xa1ndez,27,43,Maj-NL,Atlanta,16,0,3.0,,,18.0,10,6,5,10,26,0,1,2.5,63,1,0,1,1,0,1,0,0,74,330,0.63,0.15,0.15,0.38,0.19,0.11,1.111,0.27,13.0,2.6,678226
336,Elieser Hern\xc3\xa1ndez,29,147,Maj-NL,"Los Angeles,Milwaukee",9,1,,1.0,,15.2,14,11,11,5,8,5,0,6.32,59,3,0,0,1,0,0,1,0,64,251,0.65,0.2,0.09,0.2,0.25,0.16,1.213,0.196,4.6,1.6,622694
337,Enrique Hern\xc3\xa1ndez,32,59,Maj-NL,Los Angeles,4,0,,,,4.1,5,2,2,0,0,0,0,4.15,18,2,0,0,0,0,0,0,0,18,45,0.6,0.16,0.0,0.11,0.5,0.17,1.154,0.278,0.0,,571771
339,Jonathan Hern\xc3\xa1ndez,27,97,Maj-AL,"Seattle,Texas",29,1,3.0,1.0,,43.1,41,28,26,28,39,6,1,5.4,160,8,1,1,6,2,4,1,0,192,763,0.61,0.14,0.13,0.49,0.24,0.02,1.592,0.299,8.1,1.39,642546
340,Jose Hernandez,26,173,Maj-NL,Pittsburgh,7,0,1.0,1.0,1.0,5.1,5,2,2,4,4,1,0,3.38,21,2,0,1,0,0,0,0,0,25,89,0.67,0.18,0.16,0.18,0.24,0.0,1.688,0.25,6.8,1.0,669796
341,Nick Hernandez,29,65,Maj-AL,Houston,5,0,,,,8.0,10,7,7,1,10,4,0,7.88,33,0,0,0,0,0,1,1,0,34,139,0.67,0.2,0.14,0.39,0.3,0.09,1.375,0.316,11.3,10.0,663321
342,Tim Herrin,27,45,Maj-AL,Cleveland,75,0,5.0,1.0,,65.2,39,17,14,25,68,2,5,1.92,225,9,0,1,7,1,6,2,3,257,1011,0.66,0.19,0.13,0.52,0.19,0.07,0.975,0.237,9.3,2.72,682120
343,DJ Herz,23,48,Maj-NL,Washington,19,19,4.0,9.0,,88.2,76,45,41,36,106,11,3,4.16,340,11,1,0,3,1,2,0,0,382,1586,0.64,0.15,0.13,0.37,0.24,0.08,1.263,0.29,10.8,2.94,687792
344,Aaron Hicks,34,199,Maj-AL,Los Angeles,1,0,,,,1.0,2,2,2,1,0,1,0,18.0,5,0,0,0,0,0,0,0,0,6,18,0.72,0.28,0.11,0.0,0.4,0.2,3.0,0.25,0.0,0.0,543305
345,Jordan Hicks,27,59,Maj-NL,San Francisco,29,20,4.0,7.0,1.0,109.2,112,54,50,47,96,12,9,4.1,423,23,2,0,15,2,11,0,0,481,1959,0.61,0.17,0.1,0.51,0.23,0.05,1.45,0.316,7.9,2.04,663855
346,Jaden Hill,24,46,Maj-NL,Colorado,9,0,,,,10.2,8,7,6,4,6,2,2,5.06,37,0,0,0,1,2,5,0,0,45,151,0.65,0.17,0.09,0.61,0.09,0.0,1.125,0.194,5.1,1.5,677955
