,Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
481,Lance Lynn,37,56,Maj-NL,St. Louis,23,23,7.0,4.0,,117.1,113,64,50,44,109,16,4,3.84,458,21,1,0,7,4,16,3,1,511,2040,0.62,0.14,0.1,0.36,0.27,0.09,1.338,0.288,8.4,2.48,458681
482,Josh Maciejewski,28,115,Maj-AL,New York,4,0,,,,7.0,4,2,2,2,7,1,0,2.57,25,1,0,0,0,0,0,0,0,27,96,0.63,0.1,0.15,0.56,0.22,0.0,0.857,0.177,9.0,3.5,656671
483,Ty Madden,24,45,Maj-AL,Detroit,6,1,1.0,1.0,,23.0,25,12,11,8,17,2,1,4.3,91,5,0,0,2,1,4,0,0,101,403,0.64,0.13,0.11,0.44,0.25,0.09,1.435,0.315,6.7,2.13,680744
484,Kenta Maeda,36,44,Maj-AL,Detroit,28,16,3.0,7.0,,112.1,124,80,76,31,96,22,5,6.09,442,25,1,0,9,6,11,4,1,485,1956,0.63,0.16,0.11,0.36,0.26,0.09,1.38,0.309,7.7,3.1,628317
485,Tyler Mahle,29,86,Maj-AL,Texas,3,3,,1.0,,12.2,14,7,7,4,10,1,1,4.97,50,2,1,0,1,1,2,0,0,56,229,0.66,0.17,0.11,0.44,0.22,0.0,1.421,0.325,7.1,2.5,641816
486,Luke Maile,33,74,Maj-NL,Cincinnati,3,0,,,,3.2,6,6,6,0,0,1,0,14.73,17,3,1,0,0,1,0,0,0,18,65,0.68,0.06,0.06,0.28,0.22,0.06,1.636,0.294,0.0,,571912
487,Anthony Maldonado,26,47,Maj-NL,Miami,16,1,1.0,1.0,1.0,19.0,21,12,12,7,11,1,0,5.68,75,4,2,3,1,0,2,1,0,82,297,0.63,0.13,0.14,0.36,0.23,0.16,1.474,0.318,5.2,1.57,687424
488,Sean Manaea,32,46,Maj-NL,New York,32,32,12.0,6.0,,181.2,134,75,70,63,184,21,9,3.47,662,27,0,0,11,3,23,3,6,738,2996,0.65,0.16,0.12,0.38,0.25,0.08,1.084,0.246,9.1,2.92,640455
489,Matt Manning,26,177,Maj-AL,Detroit,5,5,,1.0,,27.2,31,15,15,12,23,3,0,4.88,108,4,1,0,1,3,2,1,0,123,438,0.66,0.17,0.1,0.31,0.25,0.08,1.554,0.329,7.5,1.92,666159
490,Alek Manoah,26,167,Maj-AL,Toronto,5,5,1.0,2.0,,24.1,17,16,10,8,26,5,4,3.7,90,2,0,0,2,1,2,1,0,103,393,0.64,0.16,0.12,0.35,0.25,0.12,1.027,0.2,9.6,3.25,666201
491,Joe Mantiply,33,44,Maj-NL,Arizona,75,2,6.0,2.0,1.0,59.2,52,27,26,18,53,1,0,3.92,225,14,4,7,6,0,7,1,0,243,867,0.68,0.15,0.14,0.54,0.18,0.02,1.173,0.298,8.0,2.94,573009
492,Ron Marinaccio,28,69,Maj-AL,New York,16,0,1.0,,,23.1,18,11,10,10,25,4,3,3.86,83,4,0,0,3,2,7,0,0,99,395,0.64,0.18,0.11,0.39,0.25,0.08,1.2,0.25,9.6,2.5,676760
493,Germ\xc3\xa1n M\xc3\xa1rquez,29,121,Maj-NL,Colorado,1,1,,,,4.0,5,3,3,4,3,1,0,6.75,16,0,0,0,0,0,0,0,0,20,70,0.59,0.13,0.13,0.46,0.15,0.08,2.25,0.333,6.8,0.75,608566
495,Alec Marsh,26,44,Maj-AL,Kansas City,26,25,9.0,9.0,,129.0,123,70,65,39,123,19,11,4.53,493,28,3,1,9,4,9,2,5,548,2161,0.64,0.17,0.1,0.39,0.26,0.09,1.256,0.293,8.6,3.15,679525
496,Jos\xc3\xa9 Marte,28,97,Maj-AL,Los Angeles,14,0,,,,19.1,14,6,5,10,14,1,1,2.33,68,4,0,0,4,1,1,0,0,80,311,0.59,0.14,0.11,0.56,0.18,0.02,1.241,0.241,6.5,1.4,665896
497,Yunior Marte,29,74,Maj-NL,Philadelphia,23,0,,,,26.0,34,22,20,15,23,5,0,6.92,111,6,0,0,0,1,5,0,0,127,483,0.6,0.16,0.09,0.45,0.29,0.06,1.885,0.345,8.0,1.53,628708
498,Chris Martin,38,44,Maj-AL,Boston,45,0,3.0,1.0,2.0,44.1,47,22,17,3,50,5,3,3.45,170,3,0,1,5,2,6,2,1,180,658,0.72,0.18,0.11,0.46,0.28,0.04,1.128,0.359,10.2,16.67,455119
499,Davis Martin,27,48,Maj-AL,Chicago,11,10,,5.0,,50.0,50,25,24,23,47,5,5,4.32,192,5,0,0,5,0,2,3,0,220,892,0.63,0.15,0.12,0.47,0.18,0.08,1.46,0.321,8.5,2.04,663436
500,Justin Martinez,22,45,Maj-NL,Arizona,64,0,5.0,6.0,8.0,72.2,59,26,20,36,91,2,2,2.48,267,10,1,6,5,2,2,1,0,308,1177,0.63,0.16,0.14,0.6,0.23,0.03,1.307,0.324,11.3,2.53,679885
501,Nick Martinez,33,46,Maj-NL,Cincinnati,42,16,10.0,7.0,,142.1,128,56,49,18,116,13,5,3.1,539,32,2,0,9,3,10,3,4,570,2125,0.68,0.16,0.11,0.38,0.25,0.1,1.026,0.279,7.3,6.44,607259
502,Seth Martinez,29,50,Maj-AL,Houston,44,0,3.0,2.0,1.0,52.2,49,24,21,18,36,7,4,3.59,199,12,1,1,9,0,4,1,0,222,839,0.63,0.17,0.09,0.42,0.24,0.12,1.272,0.269,6.2,2.0,661527
503,Phil Maton,31,43,"Maj-AL,Maj-NL","New York,Tampa Bay",71,0,3.0,3.0,3.0,64.0,47,27,26,24,60,7,9,3.66,231,8,2,1,4,0,2,2,0,265,1079,0.63,0.16,0.12,0.47,0.23,0.09,1.109,0.244,8.4,2.5,664208
504,Yuki Matsui,28,44,Maj-NL,San Diego,64,0,4.0,2.0,,62.2,46,27,26,27,69,8,0,3.73,226,10,3,4,2,4,2,1,0,257,1049,0.63,0.13,0.15,0.38,0.2,0.11,1.165,0.248,9.9,2.56,673513
505,Zebby Matthews,24,45,Maj-AL,Minnesota,9,9,1.0,4.0,,37.2,51,31,28,11,43,11,2,6.69,164,9,0,0,1,0,1,0,0,177,717,0.65,0.15,0.11,0.38,0.23,0.09,1.646,0.364,10.3,3.91,805673
506,Isaac Mattson,28,44,Maj-NL,Pittsburgh,3,0,,,,5.1,1,3,3,5,6,0,1,5.06,17,0,0,0,0,0,0,0,0,23,100,0.62,0.16,0.1,0.55,0.18,0.09,1.125,0.091,10.1,1.2,676755
507,Steven Matz,33,44,Maj-NL,St. Louis,12,7,1.0,2.0,,44.1,49,28,25,15,33,7,2,5.08,171,10,0,1,7,1,2,1,0,190,754,0.65,0.16,0.08,0.41,0.29,0.09,1.444,0.318,6.7,2.2,571927
508,Tyler Matzek,33,192,Maj-NL,Atlanta,11,0,,,,10.0,16,11,11,3,10,3,0,9.9,45,1,1,0,1,0,0,0,0,48,179,0.68,0.17,0.07,0.31,0.31,0.0,1.9,0.406,9.0,3.33,554431
509,Tim Mayza,32,44,Maj-AL,"New York,Toronto",50,0,,2.0,,42.2,54,34,30,15,28,5,1,6.33,175,12,2,2,2,4,9,2,0,195,732,0.63,0.19,0.07,0.46,0.27,0.02,1.617,0.336,5.9,1.87,641835
510,Adam Mazur,23,109,Maj-NL,San Diego,8,8,1.0,3.0,,33.2,40,28,28,21,22,6,2,7.49,133,11,1,0,5,2,2,0,1,158,585,0.6,0.16,0.07,0.33,0.29,0.11,1.812,0.318,5.9,1.05,800049
511,James McArthur,27,57,Maj-AL,Kansas City,57,0,5.0,7.0,18.0,56.2,68,36,31,14,49,8,3,4.92,228,10,1,2,6,1,3,1,1,247,907,0.66,0.19,0.13,0.54,0.23,0.04,1.447,0.349,7.8,3.5,663704
512,James McCann,34,129,Maj-AL,Baltimore,1,0,,,,1.0,2,2,2,0,0,1,0,18.0,5,0,0,0,0,0,0,0,0,5,10,0.7,0.2,0.0,0.2,0.2,0.0,2.0,0.25,0.0,,543510
513,Darren McCaughan,28,45,"Maj-AL,Maj-NL","Cleveland,Miami",12,5,,,2.0,42.0,53,32,29,15,28,9,6,6.21,171,9,1,0,2,3,5,3,1,195,714,0.64,0.19,0.06,0.36,0.22,0.07,1.619,0.321,6.0,1.87,670766
514,Chayce McDermott,25,111,Maj-AL,Baltimore,1,1,,,,4.0,5,3,3,2,3,1,0,6.75,15,0,0,0,1,1,0,0,0,18,82,0.63,0.11,0.12,0.62,0.08,0.0,1.75,0.333,6.8,1.5,694646
515,Trevor McDonald,23,44,Maj-NL,San Francisco,1,0,,,,3.0,0,0,0,1,1,0,0,0.0,9,0,0,0,0,0,0,0,0,10,39,0.67,0.15,0.03,0.88,0.0,0.0,0.333,0.0,3.0,1.0,686790
516,T.J. McFarland,35,45,Maj-AL,Oakland,79,0,2.0,4.0,,56.2,53,28,24,17,39,4,4,3.81,210,12,0,5,10,3,6,0,0,235,836,0.67,0.21,0.09,0.59,0.21,0.06,1.235,0.288,6.2,2.29,519008
517,Scott McGough,34,45,Maj-NL,Arizona,26,2,1.0,3.0,,32.2,34,30,27,21,25,6,1,7.44,124,10,2,0,4,4,4,0,0,150,580,0.62,0.13,0.12,0.42,0.25,0.05,1.684,0.289,6.9,1.19,543518
518,Michael McGreevy,23,44,Maj-NL,St. Louis,4,3,3.0,,,23.0,16,5,5,2,18,1,1,1.96,83,3,1,0,3,0,0,0,0,86,311,0.66,0.19,0.1,0.65,0.25,0.03,0.783,0.234,7.0,9.0,700241
519,Triston McKenzie,26,137,Maj-AL,Cleveland,16,16,3.0,5.0,,75.2,69,46,43,49,74,19,1,5.11,288,10,1,1,8,1,9,0,2,340,1304,0.59,0.17,0.09,0.35,0.2,0.1,1.56,0.255,8.8,1.51,663474
521,Zach McKinstry,29,158,Maj-AL,Detroit,3,0,,,,2.0,1,2,2,1,0,1,0,9.0,7,0,0,0,0,0,0,0,0,8,24,0.54,0.25,0.0,0.29,0.0,0.29,1.0,0.0,0.0,0.0,656716
522,John McMillon,26,62,Maj-NL,Miami,10,0,2.0,1.0,,12.0,7,4,2,5,13,1,0,1.5,41,0,0,0,1,0,1,0,0,47,180,0.64,0.19,0.16,0.48,0.17,0.07,1.0,0.222,9.8,2.6,669111
523,John Means,31,174,Maj-AL,Baltimore,4,4,2.0,,,20.2,16,6,6,2,16,2,1,2.61,76,4,1,0,0,1,0,0,0,80,320,0.65,0.17,0.12,0.23,0.33,0.13,0.871,0.237,7.0,8.0,607644
524,Nick Mears,27,45,Maj-NL,"Colorado,Milwaukee",54,0,1.0,5.0,,57.2,61,40,38,24,75,7,0,5.93,228,13,0,1,3,4,4,1,1,256,1028,0.67,0.17,0.13,0.41,0.24,0.05,1.474,0.36,11.7,3.13,683232
525,Victor Mederos,23,66,Maj-AL,Los Angeles,4,0,,1.0,,5.1,7,7,7,6,5,1,0,11.81,21,2,0,0,1,0,1,0,0,27,107,0.56,0.09,0.09,0.44,0.31,0.0,2.438,0.4,8.4,0.83,682989
526,Luis Medina,25,124,Maj-AL,Oakland,8,8,2.0,4.0,,40.0,43,24,23,20,32,4,1,5.18,156,10,0,1,2,3,1,1,2,180,720,0.63,0.14,0.09,0.39,0.25,0.09,1.575,0.317,7.2,1.6,665622
527,James Meeker,29,158,Maj-NL,Milwaukee,1,0,,,,1.0,1,0,0,1,0,0,0,0.0,3,0,0,0,1,0,0,0,0,4,16,0.5,0.19,0.0,0.67,0.33,0.0,2.0,0.333,0.0,0.0,703231
528,Trevor Megill,30,46,Maj-NL,Milwaukee,48,0,1.0,3.0,21.0,46.1,33,16,14,14,50,4,1,2.72,165,3,0,4,4,2,9,1,0,183,668,0.68,0.15,0.14,0.35,0.23,0.07,1.014,0.257,9.7,3.57,656730
529,Tylor Megill,28,43,Maj-NL,New York,16,15,4.0,5.0,,78.0,70,39,35,32,91,8,4,4.04,298,15,1,0,3,2,5,2,3,337,1366,0.64,0.15,0.13,0.4,0.27,0.06,1.308,0.309,10.5,2.84,656731
530,Cristian Mena,21,132,Maj-NL,Arizona,1,1,,,,3.0,4,4,4,3,2,2,0,12.0,12,0,0,0,0,0,0,0,0,15,70,0.57,0.09,0.13,0.4,0.1,0.1,2.333,0.25,6.0,0.67,691441
531,Danny Mendick,30,159,Maj-AL,Chicago,1,0,,,,1.0,2,0,0,0,0,0,0,0.0,4,0,0,0,1,0,0,0,0,4,15,0.6,0.2,0.0,0.75,0.25,0.0,2.0,0.5,0.0,,664901
532,Michael Mercado,25,76,Maj-NL,Philadelphia,5,2,1.0,2.0,,13.0,16,16,16,9,10,9,1,11.08,54,2,0,0,0,0,1,1,0,64,260,0.61,0.15,0.09,0.3,0.18,0.02,1.923,0.2,6.9,1.11,675650
533,Julian Merryweather,32,79,Maj-NL,Chicago,15,0,1.0,1.0,,15.0,18,11,11,9,14,0,3,6.6,61,8,1,0,1,1,3,0,0,74,272,0.62,0.15,0.11,0.4,0.27,0.06,1.8,0.375,8.4,1.56,657240
534,Matt Mervis,26,199,Maj-NL,Chicago,1,0,,,,0.2,7,6,6,0,0,0,0,81.0,9,3,0,0,0,0,0,0,0,9,37,0.57,0.16,0.0,0.11,0.78,0.0,10.5,0.778,0.0,,670223
535,Max Meyer,25,70,Maj-NL,Miami,11,11,3.0,5.0,,57.0,62,38,36,19,46,14,3,5.68,225,18,2,0,5,1,3,2,1,248,968,0.62,0.14,0.1,0.51,0.18,0.06,1.421,0.289,7.3,2.42,676974
536,Miles Mikolas,35,46,Maj-NL,St. Louis,32,32,10.0,11.0,,171.2,194,106,102,25,122,26,5,5.35,683,51,4,0,18,6,8,2,0,720,2705,0.69,0.19,0.07,0.42,0.25,0.08,1.276,0.311,6.4,4.88,571945
537,Wade Miley,37,210,Maj-NL,Milwaukee,2,2,,1.0,,7.0,6,5,5,4,2,1,1,6.43,24,0,0,0,2,0,0,0,0,30,118,0.6,0.16,0.04,0.61,0.17,0.0,1.429,0.238,2.6,0.5,489119
538,Bobby Miller,25,56,Maj-NL,Los Angeles,13,13,2.0,4.0,,56.0,69,53,53,30,52,17,2,8.52,226,7,1,0,9,0,5,1,0,258,1053,0.6,0.14,0.1,0.45,0.25,0.05,1.768,0.331,8.4,1.73,676272
539,Bryce Miller,25,50,Maj-AL,Seattle,31,31,12.0,8.0,,180.1,131,62,59,45,171,21,3,2.94,654,25,1,1,6,2,10,7,2,704,2749,0.65,0.16,0.11,0.39,0.21,0.07,0.976,0.237,8.5,3.8,682243
540,Erik Miller,26,45,Maj-NL,San Francisco,73,10,4.0,5.0,,67.1,50,33,29,38,87,7,1,3.88,244,9,2,0,5,1,8,3,2,284,1272,0.59,0.16,0.13,0.52,0.15,0.06,1.307,0.285,11.6,2.29,669062
541,Mason Miller,25,45,Maj-AL,Oakland,55,0,2.0,2.0,28.0,65.0,36,23,18,21,104,6,1,2.49,225,5,0,3,3,2,6,0,0,249,1025,0.68,0.15,0.2,0.41,0.21,0.11,0.877,0.256,14.4,4.95,695243
542,Owen Miller,27,199,Maj-NL,Milwaukee,1,0,,,,2.0,5,4,4,1,0,1,0,18.0,10,1,0,0,0,1,0,0,0,12,37,0.57,0.11,0.03,0.27,0.27,0.0,3.0,0.4,0.0,0.0,680911
543,Ryan Miller,28,45,Maj-AL,Los Angeles,13,0,,1.0,,13.0,13,7,6,8,11,2,0,4.15,50,3,0,2,2,0,1,1,0,58,219,0.65,0.14,0.09,0.41,0.26,0.1,1.615,0.297,7.6,1.38,668943
544,Shelby Miller,33,56,Maj-AL,Detroit,51,0,6.0,8.0,2.0,55.2,41,31,28,13,49,9,5,4.53,203,10,0,0,2,4,5,0,0,225,852,0.66,0.17,0.11,0.41,0.2,0.09,0.97,0.215,7.9,3.77,571946
545,Tyson Miller,28,45,"Maj-AL,Maj-NL","Chicago,Seattle",58,0,5.0,1.0,1.0,62.0,39,18,16,11,54,7,5,2.32,217,8,0,0,4,1,4,3,1,235,937,0.66,0.14,0.13,0.31,0.23,0.1,0.807,0.204,7.8,4.91,668338
547,Hoby Milner,33,44,Maj-NL,Milwaukee,61,1,5.0,1.0,1.0,64.2,63,38,34,14,64,6,2,4.73,244,11,2,2,7,4,3,1,1,268,1044,0.65,0.22,0.07,0.54,0.21,0.05,1.191,0.32,8.9,4.57,571948
548,A.J. Minter,30,93,Maj-NL,Atlanta,39,0,5.0,4.0,1.0,34.1,24,10,10,11,35,6,1,2.62,121,2,0,1,3,0,1,3,0,134,522,0.68,0.15,0.14,0.45,0.16,0.09,1.019,0.225,9.2,3.18,621345
549,Anthony Misiewicz,29,146,Maj-AL,New York,1,0,,,,1.0,2,0,0,1,1,0,0,0.0,5,0,0,0,0,0,0,0,0,6,30,0.57,0.13,0.13,0.25,0.25,0.0,3.0,0.5,9.0,1.0,664948
550,Casey Mize,27,44,Maj-AL,Detroit,22,20,2.0,6.0,,102.1,121,57,51,29,78,11,2,4.49,417,20,4,0,13,4,11,4,0,452,1789,0.65,0.16,0.1,0.5,0.24,0.05,1.466,0.331,6.9,2.69,663554
551,Carmen Mlodzinski,25,44,Maj-NL,Pittsburgh,40,4,5.0,5.0,,50.2,41,22,19,19,46,3,2,3.38,184,8,0,1,2,4,6,0,0,209,866,0.63,0.15,0.11,0.46,0.18,0.06,1.184,0.273,8.2,2.42,669387
552,Anthony Molina,22,46,Maj-NL,Colorado,35,1,1.0,1.0,,59.2,72,46,45,22,41,5,2,6.79,236,16,1,1,6,4,6,2,0,264,1049,0.63,0.16,0.08,0.41,0.33,0.07,1.575,0.345,6.2,1.86,683627
553,Sam Moll,32,66,Maj-NL,Cincinnati,48,0,3.0,2.0,,37.2,27,16,14,14,38,3,2,3.35,134,4,1,2,3,2,5,1,1,152,624,0.64,0.19,0.11,0.48,0.18,0.05,1.089,0.253,9.1,2.71,594580
554,Frankie Montas,31,46,Maj-NL,"Cincinnati,Milwaukee",30,30,7.0,11.0,,150.2,140,89,81,66,148,24,6,4.84,576,28,1,0,6,5,17,7,1,655,2633,0.63,0.15,0.11,0.41,0.26,0.07,1.367,0.284,8.8,2.24,593423
555,Keider Montero,23,44,Maj-AL,Detroit,19,16,6.0,6.0,,98.1,100,54,52,31,77,19,3,4.76,378,14,2,0,12,0,6,4,0,412,1539,0.66,0.18,0.09,0.41,0.25,0.08,1.332,0.287,7.0,2.48,672456
556,Rafael Montero,33,107,Maj-AL,Houston,41,0,1.0,2.0,,38.1,35,21,20,19,23,8,3,4.7,141,4,1,0,7,1,8,2,0,164,683,0.59,0.14,0.08,0.43,0.26,0.05,1.409,0.243,5.4,1.21,606160
557,Jordan Montgomery,31,51,Maj-NL,Arizona,25,21,8.0,7.0,1.0,117.0,149,83,81,44,83,14,2,6.23,478,40,3,3,9,4,14,4,3,532,1931,0.63,0.13,0.12,0.43,0.28,0.04,1.65,0.351,6.4,1.89,656756
558,Mason Montgomery,24,44,Maj-AL,Tampa Bay,9,0,,,,9.2,6,2,2,5,17,0,0,1.86,32,3,0,0,3,0,0,1,0,37,158,0.64,0.11,0.25,0.6,0.27,0.0,1.138,0.4,15.8,3.4,682254
559,Matt Moore,35,79,Maj-AL,Los Angeles,51,0,5.0,3.0,1.0,48.1,39,31,27,26,41,11,2,5.03,179,6,0,2,0,0,9,2,1,210,850,0.62,0.14,0.12,0.31,0.22,0.16,1.345,0.221,7.6,1.58,519043
560,Adri\xc3\xa1n Morej\xc3\xb3n,25,46,Maj-NL,San Diego,60,0,3.0,2.0,2.0,63.2,63,24,20,21,71,4,1,2.83,246,17,2,2,3,3,9,0,0,272,1064,0.67,0.15,0.13,0.51,0.22,0.06,1.319,0.339,10.0,3.38,670970
561,Eli Morgan,28,46,Maj-AL,Cleveland,32,0,3.0,,,42.0,30,11,9,11,34,4,1,1.93,152,7,1,1,0,1,8,2,1,167,647,0.68,0.15,0.12,0.32,0.24,0.12,0.976,0.226,7.3,3.09,669212
562,Charlie Morton,40,44,Maj-NL,Atlanta,30,30,8.0,10.0,,165.1,154,85,77,65,167,23,18,4.19,613,35,2,1,20,4,12,7,9,701,2791,0.63,0.17,0.11,0.47,0.25,0.04,1.325,0.307,9.1,2.57,450203
563,Kyle Muller,26,44,Maj-AL,Oakland,21,0,,1.0,,49.1,48,25,22,10,36,6,1,4.01,188,10,0,3,4,3,6,2,1,202,725,0.68,0.16,0.11,0.43,0.28,0.06,1.176,0.282,6.6,3.6,666205
564,Andr\xc3\xa9s Mu\xc3\xb1oz,25,49,Maj-AL,Seattle,60,0,3.0,7.0,22.0,59.1,31,16,14,26,77,6,3,2.12,202,3,0,3,4,1,6,1,1,232,950,0.63,0.17,0.17,0.54,0.2,0.03,0.961,0.208,11.7,2.96,662253
565,Roddery Mu\xc3\xb1oz,24,77,Maj-NL,Miami,18,17,2.0,7.0,,82.2,89,66,60,42,70,26,5,6.53,327,17,2,0,4,5,6,5,2,379,1485,0.61,0.15,0.1,0.35,0.27,0.06,1.585,0.267,7.6,1.67,682610
566,Joe Musgrove,31,47,Maj-NL,San Diego,19,19,6.0,5.0,,99.2,94,44,43,23,101,14,10,3.88,375,21,0,0,11,2,7,4,3,410,1582,0.65,0.18,0.13,0.42,0.23,0.05,1.174,0.305,9.1,4.39,605397
567,Parker Mushinski,28,161,Maj-AL,Houston,10,0,,,,11.0,11,10,8,5,3,1,1,6.55,43,3,0,0,1,1,2,0,0,50,194,0.62,0.18,0.07,0.39,0.29,0.05,1.455,0.25,2.5,0.6,656786
568,Tobias Myers,25,45,Maj-NL,Milwaukee,27,25,9.0,6.0,,138.0,126,52,46,36,127,18,5,3.0,520,19,1,0,11,5,5,5,4,569,2152,0.66,0.16,0.09,0.38,0.28,0.09,1.174,0.284,8.3,3.53,668964
569,Tommy Nance,33,49,Maj-AL,Toronto,20,0,,3.0,,22.0,18,12,10,9,19,2,1,4.09,81,4,1,2,4,1,5,0,0,93,322,0.66,0.23,0.11,0.53,0.23,0.05,1.227,0.262,7.8,2.11,667297
570,Andrew Nardi,25,83,Maj-NL,Miami,59,0,3.0,2.0,,49.2,44,29,28,18,70,7,1,5.07,188,11,2,1,2,2,6,2,1,210,906,0.65,0.13,0.15,0.32,0.2,0.08,1.248,0.327,12.7,3.89,677053
571,Nick Nastrini,24,64,Maj-AL,Chicago,9,8,,7.0,,35.2,32,33,28,36,26,7,1,7.07,137,6,1,0,3,0,15,0,0,174,734,0.54,0.14,0.1,0.32,0.18,0.14,1.907,0.24,6.6,0.72,680897
573,Jack Neely,24,56,Maj-NL,Chicago,6,0,,,,6.0,8,6,6,2,7,2,0,9.0,26,0,0,0,0,0,0,0,0,28,98,0.62,0.09,0.22,0.37,0.26,0.05,1.667,0.353,10.5,3.5,680891
574,Kyle Nelson,27,204,Maj-NL,Arizona,11,0,,,,10.2,8,5,5,4,8,2,0,4.22,37,1,0,1,1,1,0,0,0,42,145,0.69,0.18,0.12,0.37,0.4,0.13,1.125,0.214,6.8,2.0,669459
575,Nick Nelson,28,67,Maj-NL,Philadelphia,4,0,,,,5.1,8,3,3,2,8,0,1,5.06,23,0,1,0,0,0,0,1,0,26,96,0.65,0.19,0.09,0.33,0.27,0.27,1.875,0.533,13.5,4.0,656793
576,Ryne Nelson,26,44,Maj-NL,Arizona,28,25,10.0,6.0,1.0,150.2,155,73,71,34,126,17,5,4.24,583,36,9,2,18,7,2,0,0,630,2407,0.68,0.16,0.08,0.42,0.28,0.06,1.254,0.309,7.5,3.71,669194
577,H\xc3\xa9ctor Neris,35,45,"Maj-AL,Maj-NL","Chicago,Houston",62,0,10.0,5.0,18.0,59.1,55,31,27,28,64,8,2,4.1,225,11,2,2,3,2,5,1,1,260,1009,0.65,0.14,0.12,0.41,0.23,0.05,1.399,0.303,9.7,2.29,593576
578,Sean Newcomb,31,135,Maj-AL,Oakland,7,0,1.0,,,10.0,9,7,7,8,7,2,1,6.3,35,1,0,1,1,0,3,2,1,45,184,0.56,0.15,0.08,0.52,0.14,0.07,1.7,0.269,6.3,0.88,656794
579,Kyle Nicolas,25,57,Maj-NL,Pittsburgh,51,0,2.0,2.0,,54.2,51,30,24,31,55,4,4,3.95,205,7,0,1,5,3,0,2,0,243,948,0.6,0.14,0.12,0.43,0.27,0.04,1.5,0.315,9.1,1.77,693312
580,Vinny Nittoli,33,112,Maj-AL,"Baltimore,Oakland",9,0,,1.0,,12.0,10,2,2,2,8,1,0,1.5,44,2,0,0,2,0,2,0,0,46,178,0.66,0.12,0.13,0.33,0.19,0.08,1.0,0.257,6.0,4.0,657697
581,Aaron Nola,31,44,Maj-NL,Philadelphia,33,33,14.0,8.0,,199.1,189,84,79,50,197,30,3,3.57,764,39,2,0,10,3,12,6,1,820,3191,0.66,0.17,0.11,0.45,0.25,0.06,1.199,0.294,8.9,3.94,605400
582,Dedniel N\xc3\xba\xc3\xb1ez,28,80,Maj-NL,New York,25,0,2.0,,1.0,35.0,24,11,9,8,48,3,0,2.31,127,5,0,1,3,0,3,1,1,135,522,0.73,0.15,0.17,0.53,0.18,0.06,0.914,0.276,12.3,6.0,673380
583,Riley O\'Brien,29,59,Maj-NL,St. Louis,8,0,,,,8.0,13,10,10,8,11,2,1,11.25,36,2,1,0,0,1,0,0,0,46,194,0.56,0.16,0.1,0.38,0.23,0.08,2.625,0.458,12.4,1.38,676617
584,Jack O\'Loughlin,24,129,Maj-AL,Oakland,4,0,,,,9.2,13,5,5,5,6,1,0,4.66,42,2,0,0,0,0,0,0,0,47,176,0.62,0.15,0.09,0.44,0.25,0.03,1.862,0.343,5.6,1.2,672552
585,Bailey Ober,28,44,Maj-AL,Minnesota,31,31,12.0,9.0,,178.2,136,81,79,43,191,27,6,3.98,655,29,5,0,9,4,3,2,1,709,2696,0.68,0.15,0.14,0.34,0.2,0.1,1.002,0.247,9.6,4.44,641927
586,Steven Okert,32,81,Maj-AL,Minnesota,44,1,3.0,2.0,1.0,35.1,37,22,20,16,33,6,3,5.09,139,7,1,3,0,1,6,1,1,160,617,0.65,0.19,0.1,0.32,0.26,0.17,1.5,0.307,8.4,2.06,595345
587,Adam Oller,29,46,Maj-NL,Miami,8,8,2.0,4.0,,42.1,43,25,25,22,36,7,2,5.31,165,8,0,0,5,0,1,2,0,189,711,0.6,0.17,0.08,0.39,0.19,0.11,1.535,0.295,7.7,1.64,670124
588,Reese Olson,24,47,Maj-AL,Detroit,22,22,4.0,8.0,,112.1,100,51,44,33,101,7,4,3.53,421,21,2,0,9,7,9,1,1,465,1853,0.63,0.16,0.13,0.51,0.24,0.06,1.184,0.291,8.1,3.06,681857
589,Kaleb Ort,32,50,Maj-AL,Houston,22,0,1.0,1.0,,24.2,16,7,7,4,26,7,0,2.55,89,2,0,0,0,0,1,0,1,93,366,0.66,0.16,0.13,0.35,0.17,0.11,0.811,0.161,9.5,6.5,672391
590,Luis Ortiz,28,227,Maj-NL,Philadelphia,1,0,,,,0.2,3,2,2,0,0,0,0,27.0,4,0,0,0,1,0,0,0,0,4,10,0.9,0.1,0.2,0.75,0.25,0.0,4.5,0.75,0.0,,656814
591,Luis Ortiz,25,48,Maj-NL,Pittsburgh,37,15,7.0,6.0,1.0,135.2,109,56,50,42,107,16,9,3.32,500,21,4,3,14,5,7,1,1,556,2143,0.64,0.16,0.09,0.4,0.22,0.08,1.113,0.244,7.1,2.55,682847
592,Eric Orze,26,109,Maj-NL,New York,2,0,,1.0,,1.2,3,4,4,2,1,1,1,21.6,8,0,0,0,0,0,0,0,0,11,42,0.57,0.14,0.05,0.14,0.14,0.0,3.0,0.333,5.4,0.5,679358
593,Michel Ota\xc3\xb1ez,26,47,Maj-AL,Oakland,36,0,1.0,,1.0,34.0,27,15,13,20,55,2,3,3.44,126,5,0,0,1,2,3,0,0,151,602,0.63,0.16,0.18,0.38,0.25,0.12,1.382,0.352,14.6,2.75,671305
