,pitch_type,release_speed,release_pos_x,release_pos_z,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,release_spin_rate,release_extension,release_pos_y,at_bat_number,pitch_number,pitch_name,spin_axis
851,FF,94.7,-2.19,5.29,,,,,2.0,L,R,X,0,1,-0.97,1.03,-0.14,3.43,,,,0,2,7.620947420291444,-137.76271286592177,-1.5515622198847825,-14.012756077180684,28.10867846912785,-18.80325796579165,3.57,1.66,2358.0,7.1,53.36,11,2,4-Seam Fastball,229.0
852,FC,91.4,-2.22,5.29,,,,,1.0,L,R,S,0,0,-0.18,0.92,-0.57,2.95,,,,0,2,4.597854832238036,-133.192946894093,-2.094863679524874,-3.051783878140605,26.69162845878813,-20.94671350851145,3.48,1.66,2504.0,7.0,53.47,11,1,Cutter,224.0
853,FC,92.8,-2.21,5.12,,,,,7.0,L,R,S,2,2,-0.22,0.91,-0.82,1.83,,,,2,1,4.091935654942642,-135.0325764108031,-4.677704080361472,-3.566404184407036,28.789981084801763,-20.264418032075284,3.36,1.66,2562.0,7.1,53.35,6,5,Cutter,218.0
854,FF,95.1,-2.02,5.23,,,,,3.0,L,R,S,2,1,-0.74,1.3,0.73,2.89,,,,2,1,9.015735762266395,-138.20252035810665,-3.4368018906278643,-11.38633647974894,29.693178311020723,-14.897031149494094,3.43,1.66,2493.0,7.2,53.31,6,4,4-Seam Fastball,233.0
855,SI,95.1,-2.08,5.17,,,,,9.0,L,R,S,2,0,-1.41,0.56,0.68,1.97,,,,2,1,10.590401524756846,-138.06536556502417,-4.054364222459514,-20.359597564894823,29.695928542369984,-24.30130123487284,3.4,1.66,2263.0,7.3,53.2,6,3,Sinker,224.0
856,FC,92.6,-2.02,5.1,,,,,12.0,L,R,B,1,0,-0.13,0.82,1.07,2.75,,,,2,1,8.29531741425438,-134.67581045868238,-2.0492171143464755,-3.351367723189885,27.71236307577722,-21.868348704936714,3.49,1.66,2573.0,7.0,53.46,6,2,Cutter,220.0
857,ST,85.4,-2.18,5.19,,,,,11.0,L,R,B,0,0,1.09,0.32,-0.94,2.85,,,,2,1,0.7285294154312908,-124.34964460064737,0.2009942179106598,11.12117682697671,26.84813338664924,-29.193164707908146,3.36,1.7,2508.0,6.9,53.55,6,1,Sweeper,57.0
858,FF,96.0,-1.99,5.16,,,,,5.0,L,R,X,3,2,-0.73,1.07,-0.1,2.94,,,,1,1,6.788333022519751,-139.6658390300334,-2.740784478715815,-11.133921229641995,32.902483747541226,-17.72798239658464,3.87,1.74,2418.0,7.3,53.18,5,9,4-Seam Fastball,227.0
859,FF,95.8,-2.11,5.14,,,,,7.0,L,R,S,3,2,-0.81,1.2,-0.47,2.37,,,,1,1,6.298185525774446,-139.27536035505696,-4.462970737462339,-11.972510155822745,32.505487744985466,-15.813101309767305,3.87,1.74,2383.0,7.4,53.14,5,8,4-Seam Fastball,228.0
860,CU,82.9,-2.03,5.37,,,,,13.0,L,R,B,2,2,0.7,-0.76,-1.15,1.91,,,,1,1,0.6710819838125667,-120.79427476607138,0.0707157704855871,6.704526942452069,23.589919218428307,-39.8615229516487,3.81,1.64,2701.0,6.8,53.67,5,7,Curveball,59.0
