pitch_type,release_speed,release_pos_x,release_pos_z,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,release_spin_rate,release_extension,release_pos_y,at_bat_number,pitch_number,pitch_name,spin_axis
FF,97.9,-1.52,6.45,,,,,2.0,R,R,X,3,1,-0.35,1.6,0.6,3.53,,593160.0,467793.0,2,3,6.500536971230213,-142.39678825275837,-6.063091496371401,-6.224575772467986,33.36582499073604,-9.259237444770571,3.49,1.6,2526.0,6.2,54.32,20,5,4-Seam Fastball,193.0
ST,86.6,-1.99,6.11,,,,,10.0,R,R,B,2,1,0.51,-0.09,1.42,3.43,,593160.0,467793.0,2,3,7.103750410306454,-126.0492009729623,-0.0345560610111967,4.128684345856832,24.352522980392,-33.351811742774025,3.64,1.61,3013.0,6.3,54.18,20,4,Sweeper,48.0
FF,98.2,-1.53,6.4,,,,,10.0,R,R,S,2,0,-0.08,1.56,1.78,3.69,,593160.0,467793.0,2,3,9.096492632983145,-142.6932203708442,-5.435761185153736,-3.184590057719332,32.4844837336091,-9.7726614786553,3.49,1.6,2594.0,6.1,54.43,20,3,4-Seam Fastball,194.0
SL,86.4,-1.79,6.18,,,,,12.0,R,R,B,1,0,0.36,0.1,1.77,1.31,,593160.0,467793.0,2,3,7.723707318715011,-125.66103024990664,-5.644352924467615,2.451102864487124,22.914931373223705,-30.238520613388992,3.72,1.69,3031.0,6.3,54.22,20,2,Slider,35.0
FF,97.8,-1.6,6.49,,,,,10.0,R,R,B,0,0,-0.17,1.59,1.85,4.72,,593160.0,467793.0,2,3,9.639733131567397,-142.20939430659686,-2.9278220178939205,-4.465383572453819,32.553476831596555,-10.147147066394076,3.71,1.79,2519.0,6.1,54.39,20,1,4-Seam Fastball,193.0
KC,81.5,-1.79,6.24,,,,,8.0,L,R,X,0,1,0.32,-1.76,0.33,1.94,658668.0,,593160.0,1,3,4.15363741700761,-118.4573825039222,0.5228526275853913,1.903279315368855,28.685701137958905,-48.8293198456816,3.32,1.51,2913.0,6.3,54.19,19,2,Knuckle Curve,17.0
KC,78.2,-1.67,6.28,,,,,2.0,L,R,S,0,0,0.3,-1.56,0.28,3.02,658668.0,,593160.0,1,3,3.6274496982057376,-113.62461900192302,2.862272638661207,1.7961078263500423,24.665384376201864,-46.41398073712131,3.5,1.63,2820.0,6.2,54.28,19,1,Knuckle Curve,17.0
KC,80.5,-1.67,6.26,,,,,12.0,R,R,S,2,2,0.37,-1.49,1.56,1.06,,658668.0,,1,3,6.486765830554519,-116.97366126190946,-1.9466518791563705,2.0330001757274845,24.384526785605665,-45.581135331118816,3.41,1.56,2834.0,6.5,53.99,18,8,Knuckle Curve,12.0
SL,75.4,-1.41,6.13,,,,,0.0,R,R,S,2,2,-0.85,1.48,-0.28,3.31,,658668.0,,1,3,3.8721017242642897,-109.84659399304348,-1.4144065540568826,-7.544699108443962,18.37846845414856,-20.138339542009263,3.41,1.56,1715.0,6.5,53.95,18,7,Slider,186.0
ST,85.6,-1.8,6.36,,,,,10.0,R,R,S,2,2,0.6,-0.34,0.84,3.22,,658668.0,,1,3,5.02800085557155,-124.63802795186112,-0.4290969261367798,5.175455550753996,26.18627249188115,-35.86723245163608,3.41,1.56,3078.0,6.2,54.29,18,6,Sweeper,49.0
KC,80.8,-1.56,6.24,,,,,11.0,R,R,B,1,2,0.18,-1.64,-0.04,-0.27,,,658668.0,1,3,3.0483019452667963,-117.45239846036972,-4.510420609003686,0.927758891407675,27.829774105032683,-46.30483772889702,3.41,1.62,2871.0,6.3,54.17,18,5,Knuckle Curve,12.0
FF,97.7,-1.71,6.37,,,,,3.0,R,R,S,1,2,-0.28,1.67,-0.5,2.81,,,658668.0,1,3,3.9002992641493153,-142.11331344164842,-7.927636700918383,-4.677488153180377,30.83846093982332,-7.915459384223806,3.41,1.56,2490.0,6.1,54.35,18,4,4-Seam Fastball,196.0
FF,97.5,-1.58,6.4,,,,,7.0,R,R,S,1,1,-0.29,1.67,0.26,1.91,,,658668.0,1,3,5.5846378523711815,-141.49012585608597,-10.34868983381178,-5.168090215463792,33.05925488666887,-7.516860631703012,3.41,1.56,2448.0,6.2,54.27,18,3,4-Seam Fastball,193.0
SL,85.9,-2.02,6.11,,,,,12.0,R,R,B,0,1,0.47,-0.06,1.28,2.13,,,658668.0,1,3,6.851775358552996,-125.01623612985397,-3.0907406155825603,3.62713128704419,24.13399705300975,-32.385519395293024,3.44,1.64,2855.0,6.2,54.31,18,2,Slider,60.0
FF,95.9,-1.63,6.45,,,,,10.0,R,R,S,0,0,-0.01,1.54,1.27,2.92,,,658668.0,1,3,7.657246360113289,-139.34548258196773,-7.190121525266751,-1.8403823625185085,31.57903944441984,-10.627756397722909,3.41,1.56,2546.0,6.2,54.27,18,1,4-Seam Fastball,189.0
KC,78.9,-1.71,6.32,,,,,3.0,L,R,S,2,2,0.41,-1.51,-0.68,2.63,,,658668.0,0,3,1.4609714545181458,-114.79596689062562,1.6509863918027334,3.3171304307076523,23.55924633080404,-45.97641759682228,3.32,1.51,2726.0,6.0,54.46,17,5,Knuckle Curve,21.0
SL,83.4,-1.79,6.25,,,,,2.0,L,R,S,2,1,0.26,0.17,0.66,2.8,,,658668.0,0,3,5.119952346136127,-121.4638501445676,-1.876888040735716,1.5998381975214506,22.662256843181428,-30.349997057785547,3.32,1.51,2711.0,6.2,54.33,17,4,Slider,58.0
FF,96.9,-1.57,6.46,,,,,12.0,L,R,B,1,1,-0.17,1.69,2.05,1.81,,,658668.0,0,3,9.98250789968173,-140.42133131704347,-10.641196886553338,-4.442369743062443,30.70092517789621,-7.482883214710248,3.12,1.39,2650.0,6.1,54.43,17,3,4-Seam Fastball,198.0
