,"last_name, first_name",pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
126,"Alexander, Tyler",641302,22.3,13.1,31.8,0.3,13.7,,,,18.8,
127,"Allen, Logan",671106,48.4,,14.6,,18.3,,,,18.7,
128,"Wilson, Bryse",669060,15.0,32.0,34.9,,4.2,13.9,,,,
129,"Gray, Jon",592351,44.4,,,43.9,7.1,4.6,,,,
130,"Herz, DJ",687792,54.2,,,17.9,24.5,3.3,,,,
131,"Musgrove, Joe",605397,24.6,4.4,20.4,0.3,7.8,22.5,,,20.0,
132,"Verlander, Justin",434378,48.7,,,19.3,10.1,21.9,,,,
133,"Francis, Bowden",670102,51.3,2.9,,9.2,,18.2,18.4,,,
134,"Detmers, Reid",672282,46.8,,,24.4,14.1,14.6,,,0.1,
135,"Spiers, Carson",686730,29.9,17.5,16.0,0.8,12.1,,,,23.7,
136,"Montero, Keider",672456,41.7,7.7,,28.3,10.7,11.7,,,,
137,"Cole, Gerrit",543037,45.6,0.8,15.8,15.1,4.0,18.7,,,,
138,"Yarbrough, Ryan",642232,21.5,25.6,9.9,,15.5,27.5,,,,
139,"Hudson, Dakota",641712,15.3,32.6,0.5,24.4,9.9,17.2,,,,
140,"Rodríguez, Yariel",684320,40.9,10.8,,28.2,,10.5,9.6,,,
141,"Muñoz, Roddery",682610,26.9,22.8,21.2,19.8,9.3,,,,,
142,"Fulmer, Carson",608334,23.4,23.7,,16.1,27.0,5.6,,,4.3,
143,"Yamamoto, Yoshinobu",808967,40.4,2.9,6.1,3.3,,23.1,24.2,,0.1,
144,"Paddack, Chris",663978,42.9,,,17.7,25.9,13.6,,,,
145,"Schmidt, Clarke",657376,,21.0,35.0,,0.6,18.2,,,25.2,
146,"Sandoval, Patrick",663776,16.0,17.4,,24.7,28.3,9.0,,,4.6,
147,"Soroka, Michael",647336,32.5,21.2,,36.5,9.8,,,,,
148,"Walker, Taijuan",592836,12.5,27.5,9.4,,,10.8,21.9,,17.8,
149,"Avila, Pedro",658648,39.2,12.3,,6.8,22.0,16.1,,,3.7,
150,"Tonkin, Michael",543859,37.8,17.1,,35.7,,,,,9.4,
151,"Weathers, Ryan",677960,39.7,12.1,,0.9,26.0,,,,21.3,
152,"Povich, Cade",700249,40.7,8.4,7.5,,10.9,19.6,,,13.0,
153,"Birdsong, Hayden",806185,44.6,,,18.4,18.4,18.7,,,,
154,"Weaver, Luke",596133,48.5,,22.6,,27.7,1.2,,,,
155,"Williams, Gavin",668909,51.5,,12.0,11.3,5.4,19.8,,,,
156,"Law, Derek",571882,13.6,9.8,37.9,30.0,5.1,3.6,,,,
157,"Megill, Tylor",656731,46.7,9.8,14.3,10.9,1.5,7.6,7.5,,1.6,
158,"Stripling, Ross",548389,30.3,14.2,15.9,13.4,17.6,8.6,,,,
159,"Liberatore, Matthew",669461,28.3,20.4,12.8,27.6,4.4,6.5,,,,
160,"Ashcraft, Graham",668933,,17.2,47.9,31.9,3.0,,,,,
161,"Vodnik, Victor",680767,63.3,,,20.1,16.6,,,,,
162,"Holton, Tyler",663947,15.2,21.6,27.3,,18.9,1.5,,,15.5,
163,"Buehler, Walker",621111,29.0,16.3,20.8,1.3,5.2,19.2,,,8.2,
164,"McKenzie, Triston",663474,52.4,,,21.0,,26.6,,,,
165,"Abreu, Bryan",650556,46.4,,,53.1,0.5,,,,,
166,"Cecconi, Slade",677944,54.9,,,24.0,12.2,8.9,,,,
167,"Shuster, Jared",694363,37.5,4.7,,28.4,29.4,,,,,
168,"Miller, Erik",669062,49.7,,,16.4,33.9,,,,,
169,"Darvish, Yu",506433,19.0,16.8,4.4,23.1,,13.7,9.0,,14.0,
170,"Akin, Keegan",669211,56.0,,,33.2,10.8,,,,,
171,"Winckowski, Josh",670174,5.1,33.6,35.2,13.3,12.8,,,,,
172,"Wentz, Joey",666214,36.5,,31.4,,19.1,13.0,,,,
173,"Buttó, José",676130,31.5,23.0,,12.9,22.1,,,,10.5,
174,"Walker, Ryan",676254,0.5,54.8,,44.8,,,,,,
175,"Harris, Hogan",663687,56.3,,,11.5,16.5,15.7,,,,
176,"Blackburn, Paul",621112,19.5,13.6,22.0,16.7,18.1,10.1,,,,
177,"Robertson, David",502085,,1.4,63.4,6.7,1.7,26.8,,,,
178,"Hjelle, Sean",663546,,55.0,10.6,,,34.4,,,,
179,"Baz, Shane",669358,47.9,,,21.3,10.3,20.5,,,,
180,"Leclerc, José",600917,34.8,7.1,15.7,32.2,10.2,,,,,
181,"Scott, Tayler",605463,48.5,5.7,,22.1,,,23.7,,,
182,"Ross, Joe",605452,16.0,36.6,,37.3,8.4,1.7,,,,
183,"Fernandez, Ryan",681676,40.3,1.3,10.3,48.2,,,,,,
184,"Beeks, Jalen",656222,55.6,,17.8,,25.5,1.0,,,,
185,"Kinley, Tyler",641755,33.6,0.2,,62.7,3.5,,,,,
